City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,collie,-33.3667,116.15,32.27,35,0,2.69,AU,1733967209
1,blackmans bay,-43.0167,147.3167,18.18,61,100,0.89,AU,1733967210
2,lompoc,34.6391,-120.4579,14.45,63,0,2.57,US,1733967211
3,san patricio,28.017,-97.5169,10.97,36,0,3.91,US,1733967212
4,lihue,21.9789,-159.3672,25.77,73,75,7.72,US,1733967213
5,papatowai,-46.5619,169.4708,14.39,83,100,1.93,NZ,1733967214
6,port elizabeth,-33.918,25.5701,19.62,98,0,2.57,ZA,1733967215
7,lebu,-37.6167,-73.65,12.89,78,0,7.15,CL,1733967216
8,dali,25.7,100.1833,10.23,58,9,1.85,CN,1733967217
9,adamstown,-25.066,-130.1015,22.39,83,100,8.52,PN,1733967102
10,brookings,44.3114,-96.7984,-17.75,72,0,2.57,US,1733967219
11,ushuaia,-54.8,-68.3,13.81,47,40,5.14,AR,1733966967
12,port-aux-francais,-49.35,70.2167,4.88,85,90,10.94,TF,1733967222
13,pudozh,61.8099,36.5345,-2.71,87,92,3.53,RU,1733967223
14,bethel,41.3712,-73.414,12.79,89,100,3.09,US,1733967117
15,south venice,27.0531,-82.4243,16.1,66,0,0.45,US,1733967225
16,afaahiti,-17.75,-149.2833,23.25,89,100,10.41,PF,1733967226
17,susuman,62.7833,148.1667,-27.37,99,100,1.03,RU,1733967227
18,ewo,-0.8725,14.8206,24.06,80,98,1.67,CG,1733967228
19,waitangi,-43.9535,-176.5597,14.77,96,100,5.62,NZ,1733967229
20,edinburgh of the seven seas,-37.0676,-12.3116,13.77,69,83,4.05,SH,1733967230
21,mae hong son,19.3003,97.9685,17.08,100,100,0.0,TH,1733967231
22,pacasmayo,-7.4006,-79.5714,19.12,82,91,5.6,PE,1733966959
23,jatoba,-9.1831,-38.2689,27.25,60,71,5.54,BR,1733967233
24,margaret river,-33.95,115.0667,26.25,55,0,3.69,AU,1733967007
25,kodiak,57.79,-152.4072,2.73,100,75,1.54,US,1733967236
26,thunder bay,48.4001,-89.3168,-15.01,72,75,6.17,CA,1733967203
27,constantia,44.1833,28.65,4.38,81,100,4.77,RO,1733966960
28,yellowknife,62.456,-114.3525,-21.44,96,75,6.69,CA,1733967239
29,tolanaro,-25.0319,46.9987,25.04,73,20,9.77,MG,1733967240
30,isafjordur,66.0755,-23.124,0.62,91,100,3.27,IS,1733967241
31,golden beach,38.4898,-76.6822,5.65,62,56,1.79,US,1733967242
